Subject_ID,Total_PSDs,Mayer_Wave_PSDs,Segments_ID
0,202,121,"[('segment_2', 'Session_03'), ('segment_2', 'Session_07'), ('segment_2', 'Session_14'), ('segment_2', 'Session_15'), ('segment_2', 'Session_22'), ('segment_2', 'Session_29'), ('segment_2', 'Session_30'), ('segment_2', 'Session_34'), ('segment_2', 'Session_40'), ('segment_2', 'Session_47'), ('segment_4', 'Session_06'), ('segment_4', 'Session_14'), ('segment_4', 'Session_15'), ('segment_4', 'Session_16'), ('segment_4', 'Session_30'), ('segment_4', 'Session_35'), ('segment_4', 'Session_47'), ('segment_8', 'Session_02'), ('segment_8', 'Session_06'), ('segment_8', 'Session_07'), ('segment_8', 'Session_13'), ('segment_8', 'Session_15'), ('segment_8', 'Session_29'), ('segment_8', 'Session_32'), ('segment_8', 'Session_34'), ('segment_8', 'Session_35'), ('segment_8', 'Session_48'), ('segment_11', 'Session_02'), ('segment_11', 'Session_03'), ('segment_11', 'Session_06'), ('segment_11', 'Session_07'), ('segment_11', 'Session_13'), ('segment_11', 'Session_14'), ('segment_11', 'Session_29'), ('segment_11', 'Session_30'), ('segment_11', 'Session_32'), ('segment_11', 'Session_35'), ('segment_11', 'Session_48'), ('segment_12', 'Session_02'), ('segment_12', 'Session_03'), ('segment_12', 'Session_14'), ('segment_12', 'Session_15'), ('segment_12', 'Session_22'), ('segment_12', 'Session_29'), ('segment_12', 'Session_33'), ('segment_12', 'Session_40'), ('segment_12', 'Session_47'), ('segment_13', 'Session_02'), ('segment_13', 'Session_13'), ('segment_13', 'Session_15'), ('segment_13', 'Session_21'), ('segment_13', 'Session_22'), ('segment_13', 'Session_29'), ('segment_13', 'Session_30'), ('segment_13', 'Session_31'), ('segment_13', 'Session_40'), ('segment_13', 'Session_48'), ('segment_13', 'Session_49'), ('segment_0', 'Session_03'), ('segment_0', 'Session_06'), ('segment_0', 'Session_15'), ('segment_0', 'Session_30'), ('segment_0', 'Session_31'), ('segment_0', 'Session_35'), ('segment_0', 'Session_48'), ('segment_1', 'Session_13'), ('segment_1', 'Session_14'), ('segment_1', 'Session_15'), ('segment_1', 'Session_16'), ('segment_1', 'Session_29'), ('segment_1', 'Session_30'), ('segment_1', 'Session_31'), ('segment_1', 'Session_32'), ('segment_1', 'Session_47'), ('segment_1', 'Session_48'), ('segment_3', 'Session_03'), ('segment_3', 'Session_06'), ('segment_3', 'Session_13'), ('segment_3', 'Session_14'), ('segment_3', 'Session_15'), ('segment_3', 'Session_16'), ('segment_3', 'Session_29'), ('segment_3', 'Session_31'), ('segment_3', 'Session_35'), ('segment_3', 'Session_45'), ('segment_5', 'Session_03'), ('segment_5', 'Session_07'), ('segment_5', 'Session_13'), ('segment_5', 'Session_15'), ('segment_5', 'Session_30'), ('segment_5', 'Session_31'), ('segment_5', 'Session_32'), ('segment_5', 'Session_33'), ('segment_5', 'Session_40'), ('segment_7', 'Session_03'), ('segment_7', 'Session_06'), ('segment_7', 'Session_14'), ('segment_7', 'Session_21'), ('segment_7', 'Session_30'), ('segment_7', 'Session_33'), ('segment_7', 'Session_47'), ('segment_9', 'Session_03'), ('segment_9', 'Session_13'), ('segment_9', 'Session_16'), ('segment_9', 'Session_21'), ('segment_9', 'Session_22'), ('segment_9', 'Session_29'), ('segment_9', 'Session_48'), ('segment_6', 'Session_06'), ('segment_6', 'Session_13'), ('segment_6', 'Session_30'), ('segment_6', 'Session_31'), ('segment_6', 'Session_32'), ('segment_10', 'Session_06'), ('segment_10', 'Session_13'), ('segment_10', 'Session_15'), ('segment_10', 'Session_22'), ('segment_10', 'Session_29'), ('segment_10', 'Session_32'), ('segment_10', 'Session_47'), ('segment_10', 'Session_48')]"
1,115,69,"[('segment_11', 'Session_04'), ('segment_11', 'Session_09'), ('segment_11', 'Session_24'), ('segment_11', 'Session_40'), ('segment_12', 'Session_02'), ('segment_12', 'Session_05'), ('segment_12', 'Session_06'), ('segment_12', 'Session_24'), ('segment_12', 'Session_25'), ('segment_12', 'Session_42'), ('segment_12', 'Session_43'), ('segment_13', 'Session_02'), ('segment_13', 'Session_04'), ('segment_13', 'Session_05'), ('segment_13', 'Session_10'), ('segment_13', 'Session_42'), ('segment_13', 'Session_43'), ('segment_0', 'Session_06'), ('segment_0', 'Session_23'), ('segment_0', 'Session_39'), ('segment_1', 'Session_06'), ('segment_1', 'Session_07'), ('segment_1', 'Session_19'), ('segment_1', 'Session_23'), ('segment_1', 'Session_39'), ('segment_1', 'Session_41'), ('segment_1', 'Session_45'), ('segment_2', 'Session_06'), ('segment_2', 'Session_07'), ('segment_2', 'Session_41'), ('segment_3', 'Session_03'), ('segment_3', 'Session_07'), ('segment_3', 'Session_10'), ('segment_3', 'Session_12'), ('segment_3', 'Session_36'), ('segment_3', 'Session_40'), ('segment_3', 'Session_41'), ('segment_3', 'Session_45'), ('segment_4', 'Session_06'), ('segment_4', 'Session_07'), ('segment_4', 'Session_24'), ('segment_4', 'Session_41'), ('segment_4', 'Session_43'), ('segment_5', 'Session_05'), ('segment_5', 'Session_06'), ('segment_5', 'Session_42'), ('segment_9', 'Session_03'), ('segment_9', 'Session_24'), ('segment_9', 'Session_25'), ('segment_9', 'Session_37'), ('segment_9', 'Session_42'), ('segment_9', 'Session_43'), ('segment_6', 'Session_05'), ('segment_6', 'Session_07'), ('segment_6', 'Session_10'), ('segment_6', 'Session_24'), ('segment_6', 'Session_42'), ('segment_6', 'Session_43'), ('segment_7', 'Session_42'), ('segment_7', 'Session_43'), ('segment_8', 'Session_06'), ('segment_8', 'Session_07'), ('segment_8', 'Session_23'), ('segment_8', 'Session_26'), ('segment_10', 'Session_06'), ('segment_10', 'Session_09'), ('segment_10', 'Session_10'), ('segment_10', 'Session_37'), ('segment_10', 'Session_42')]"
2,25,6,"[('segment_12', 'Session_13'), ('segment_4', 'Session_16'), ('segment_9', 'Session_16'), ('segment_13', 'Session_16'), ('segment_13', 'Session_48'), ('segment_6', 'Session_39')]"
3,41,16,"[('segment_2', 'Session_01'), ('segment_2', 'Session_27'), ('segment_2', 'Session_29'), ('segment_3', 'Session_03'), ('segment_4', 'Session_01'), ('segment_4', 'Session_48'), ('segment_5', 'Session_01'), ('segment_5', 'Session_24'), ('segment_12', 'Session_03'), ('segment_12', 'Session_26'), ('segment_0', 'Session_25'), ('segment_0', 'Session_26'), ('segment_1', 'Session_24'), ('segment_6', 'Session_48'), ('segment_7', 'Session_03'), ('segment_10', 'Session_03')]"
4,11,1,"[('segment_1', 'Session_00')]"
5,34,14,"[('segment_12', 'Session_06'), ('segment_12', 'Session_22'), ('segment_12', 'Session_43'), ('segment_5', 'Session_29'), ('segment_5', 'Session_42'), ('segment_6', 'Session_27'), ('segment_6', 'Session_29'), ('segment_9', 'Session_20'), ('segment_1', 'Session_06'), ('segment_1', 'Session_42'), ('segment_11', 'Session_43'), ('segment_3', 'Session_14'), ('segment_4', 'Session_29'), ('segment_7', 'Session_29')]"
6,128,95,"[('segment_9', 'Session_08'), ('segment_9', 'Session_14'), ('segment_9', 'Session_25'), ('segment_9', 'Session_26'), ('segment_9', 'Session_43'), ('segment_9', 'Session_46'), ('segment_11', 'Session_08'), ('segment_11', 'Session_12'), ('segment_11', 'Session_14'), ('segment_11', 'Session_24'), ('segment_11', 'Session_41'), ('segment_11', 'Session_45'), ('segment_11', 'Session_46'), ('segment_4', 'Session_10'), ('segment_4', 'Session_14'), ('segment_4', 'Session_24'), ('segment_4', 'Session_41'), ('segment_5', 'Session_10'), ('segment_5', 'Session_14'), ('segment_5', 'Session_24'), ('segment_5', 'Session_25'), ('segment_5', 'Session_26'), ('segment_5', 'Session_41'), ('segment_6', 'Session_10'), ('segment_6', 'Session_11'), ('segment_6', 'Session_13'), ('segment_6', 'Session_14'), ('segment_6', 'Session_24'), ('segment_6', 'Session_25'), ('segment_6', 'Session_45'), ('segment_7', 'Session_10'), ('segment_7', 'Session_11'), ('segment_7', 'Session_13'), ('segment_7', 'Session_14'), ('segment_7', 'Session_24'), ('segment_7', 'Session_42'), ('segment_7', 'Session_44'), ('segment_7', 'Session_45'), ('segment_7', 'Session_46'), ('segment_10', 'Session_11'), ('segment_10', 'Session_24'), ('segment_10', 'Session_25'), ('segment_10', 'Session_41'), ('segment_10', 'Session_42'), ('segment_10', 'Session_43'), ('segment_10', 'Session_46'), ('segment_0', 'Session_11'), ('segment_0', 'Session_12'), ('segment_0', 'Session_13'), ('segment_0', 'Session_14'), ('segment_0', 'Session_24'), ('segment_0', 'Session_26'), ('segment_0', 'Session_43'), ('segment_3', 'Session_11'), ('segment_3', 'Session_12'), ('segment_3', 'Session_13'), ('segment_3', 'Session_24'), ('segment_3', 'Session_25'), ('segment_3', 'Session_43'), ('segment_3', 'Session_45'), ('segment_3', 'Session_46'), ('segment_8', 'Session_13'), ('segment_8', 'Session_14'), ('segment_8', 'Session_25'), ('segment_8', 'Session_42'), ('segment_8', 'Session_43'), ('segment_8', 'Session_44'), ('segment_8', 'Session_45'), ('segment_8', 'Session_46'), ('segment_12', 'Session_11'), ('segment_12', 'Session_12'), ('segment_12', 'Session_13'), ('segment_12', 'Session_26'), ('segment_12', 'Session_43'), ('segment_12', 'Session_46'), ('segment_13', 'Session_11'), ('segment_13', 'Session_12'), ('segment_13', 'Session_14'), ('segment_13', 'Session_25'), ('segment_13', 'Session_26'), ('segment_13', 'Session_45'), ('segment_13', 'Session_46'), ('segment_1', 'Session_12'), ('segment_1', 'Session_14'), ('segment_1', 'Session_24'), ('segment_1', 'Session_26'), ('segment_1', 'Session_46'), ('segment_1', 'Session_47'), ('segment_2', 'Session_12'), ('segment_2', 'Session_24'), ('segment_2', 'Session_25'), ('segment_2', 'Session_26'), ('segment_2', 'Session_42'), ('segment_2', 'Session_43'), ('segment_2', 'Session_44')]"
7,319,93,"[('segment_11', 'Session_02'), ('segment_11', 'Session_03'), ('segment_11', 'Session_30'), ('segment_0', 'Session_02'), ('segment_0', 'Session_03'), ('segment_0', 'Session_04'), ('segment_0', 'Session_05'), ('segment_0', 'Session_13'), ('segment_0', 'Session_35'), ('segment_1', 'Session_02'), ('segment_1', 'Session_13'), ('segment_1', 'Session_23'), ('segment_1', 'Session_29'), ('segment_1', 'Session_40'), ('segment_2', 'Session_04'), ('segment_2', 'Session_05'), ('segment_2', 'Session_09'), ('segment_2', 'Session_19'), ('segment_2', 'Session_21'), ('segment_2', 'Session_23'), ('segment_2', 'Session_25'), ('segment_2', 'Session_37'), ('segment_2', 'Session_40'), ('segment_4', 'Session_04'), ('segment_4', 'Session_05'), ('segment_4', 'Session_19'), ('segment_4', 'Session_29'), ('segment_4', 'Session_36'), ('segment_4', 'Session_45'), ('segment_5', 'Session_02'), ('segment_5', 'Session_08'), ('segment_5', 'Session_13'), ('segment_5', 'Session_17'), ('segment_5', 'Session_19'), ('segment_5', 'Session_29'), ('segment_5', 'Session_34'), ('segment_5', 'Session_39'), ('segment_5', 'Session_40'), ('segment_8', 'Session_02'), ('segment_8', 'Session_04'), ('segment_8', 'Session_09'), ('segment_8', 'Session_13'), ('segment_8', 'Session_15'), ('segment_8', 'Session_19'), ('segment_8', 'Session_35'), ('segment_8', 'Session_40'), ('segment_8', 'Session_41'), ('segment_8', 'Session_48'), ('segment_9', 'Session_02'), ('segment_9', 'Session_03'), ('segment_9', 'Session_17'), ('segment_9', 'Session_18'), ('segment_9', 'Session_24'), ('segment_9', 'Session_32'), ('segment_9', 'Session_47'), ('segment_10', 'Session_02'), ('segment_10', 'Session_03'), ('segment_10', 'Session_24'), ('segment_12', 'Session_02'), ('segment_12', 'Session_14'), ('segment_12', 'Session_16'), ('segment_12', 'Session_32'), ('segment_12', 'Session_33'), ('segment_13', 'Session_02'), ('segment_13', 'Session_03'), ('segment_13', 'Session_05'), ('segment_13', 'Session_15'), ('segment_13', 'Session_22'), ('segment_13', 'Session_37'), ('segment_13', 'Session_46'), ('segment_6', 'Session_03'), ('segment_6', 'Session_05'), ('segment_6', 'Session_13'), ('segment_6', 'Session_18'), ('segment_6', 'Session_19'), ('segment_6', 'Session_24'), ('segment_6', 'Session_37'), ('segment_3', 'Session_04'), ('segment_3', 'Session_07'), ('segment_3', 'Session_09'), ('segment_3', 'Session_13'), ('segment_3', 'Session_17'), ('segment_3', 'Session_23'), ('segment_3', 'Session_25'), ('segment_3', 'Session_41'), ('segment_3', 'Session_47'), ('segment_7', 'Session_05'), ('segment_7', 'Session_07'), ('segment_7', 'Session_19'), ('segment_7', 'Session_22'), ('segment_7', 'Session_36'), ('segment_7', 'Session_38'), ('segment_7', 'Session_47')]"
8,165,98,"[('segment_2', 'Session_05'), ('segment_2', 'Session_14'), ('segment_2', 'Session_23'), ('segment_2', 'Session_35'), ('segment_2', 'Session_36'), ('segment_2', 'Session_41'), ('segment_2', 'Session_42'), ('segment_2', 'Session_47'), ('segment_7', 'Session_02'), ('segment_7', 'Session_04'), ('segment_7', 'Session_23'), ('segment_7', 'Session_37'), ('segment_7', 'Session_43'), ('segment_7', 'Session_48'), ('segment_8', 'Session_02'), ('segment_8', 'Session_04'), ('segment_8', 'Session_14'), ('segment_8', 'Session_17'), ('segment_8', 'Session_24'), ('segment_8', 'Session_37'), ('segment_8', 'Session_45'), ('segment_9', 'Session_02'), ('segment_9', 'Session_03'), ('segment_9', 'Session_05'), ('segment_9', 'Session_14'), ('segment_9', 'Session_17'), ('segment_9', 'Session_23'), ('segment_9', 'Session_35'), ('segment_9', 'Session_37'), ('segment_9', 'Session_41'), ('segment_9', 'Session_47'), ('segment_9', 'Session_48'), ('segment_12', 'Session_13'), ('segment_12', 'Session_15'), ('segment_12', 'Session_16'), ('segment_12', 'Session_17'), ('segment_12', 'Session_23'), ('segment_12', 'Session_25'), ('segment_12', 'Session_34'), ('segment_12', 'Session_35'), ('segment_12', 'Session_41'), ('segment_12', 'Session_43'), ('segment_13', 'Session_02'), ('segment_13', 'Session_16'), ('segment_13', 'Session_24'), ('segment_13', 'Session_35'), ('segment_13', 'Session_41'), ('segment_13', 'Session_47'), ('segment_13', 'Session_48'), ('segment_1', 'Session_03'), ('segment_1', 'Session_05'), ('segment_1', 'Session_14'), ('segment_1', 'Session_21'), ('segment_1', 'Session_24'), ('segment_1', 'Session_30'), ('segment_1', 'Session_36'), ('segment_1', 'Session_41'), ('segment_1', 'Session_42'), ('segment_1', 'Session_47'), ('segment_3', 'Session_05'), ('segment_3', 'Session_17'), ('segment_3', 'Session_24'), ('segment_3', 'Session_35'), ('segment_3', 'Session_42'), ('segment_4', 'Session_05'), ('segment_4', 'Session_13'), ('segment_4', 'Session_15'), ('segment_4', 'Session_23'), ('segment_4', 'Session_24'), ('segment_4', 'Session_25'), ('segment_4', 'Session_42'), ('segment_4', 'Session_47'), ('segment_5', 'Session_14'), ('segment_5', 'Session_15'), ('segment_5', 'Session_17'), ('segment_5', 'Session_41'), ('segment_5', 'Session_47'), ('segment_10', 'Session_14'), ('segment_10', 'Session_17'), ('segment_10', 'Session_24'), ('segment_10', 'Session_36'), ('segment_10', 'Session_47'), ('segment_11', 'Session_14'), ('segment_11', 'Session_15'), ('segment_11', 'Session_16'), ('segment_11', 'Session_36'), ('segment_0', 'Session_14'), ('segment_0', 'Session_23'), ('segment_0', 'Session_30'), ('segment_0', 'Session_35'), ('segment_0', 'Session_36'), ('segment_0', 'Session_39'), ('segment_0', 'Session_45'), ('segment_6', 'Session_14'), ('segment_6', 'Session_17'), ('segment_6', 'Session_25'), ('segment_6', 'Session_36'), ('segment_6', 'Session_37')]"
9,47,5,"[('segment_1', 'Session_06'), ('segment_5', 'Session_06'), ('segment_0', 'Session_09'), ('segment_11', 'Session_03'), ('segment_11', 'Session_17')]"
